class_name,video_id,split,bbox,link
book,69241,train,"[385, 37, 885, 720]",http://aslbricks.org/New/ASL-Videos/book.mp4
book,7069,train,"[462, 44, 949, 720]",https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
book,7068,train,"[234, 17, 524, 414]",https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
book,7070,train,"[131, 26, 526, 480]",https://media.asldeafined.com/vocabulary/1466684225.687.mp4
book,7099,val,"[162, 54, 528, 400]",http://www.aslsearch.com/signs/videos/book.mp4
book,7074,train,"[82, 11, 212, 192]",https://www.signingsavvy.com/signs/mp4/14/14326.mp4
drink,69302,val,"[551, 68, 1350, 1080]",http://aslbricks.org/New/ASL-Videos/drink.mp4
drink,65539,train,"[153, 11, 488, 370]",https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
drink,17710,train,"[196, 15, 521, 414]",https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
drink,17733,train,"[186, 63, 551, 400]",http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
drink,65540,train,"[167, 19, 480, 370]",https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
drink,17734,val,"[183, 55, 552, 400]",http://www.aslsearch.com/signs/videos/drink.mp4
drink,17711,train,"[289, 9, 783, 480]",https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4
drink,17712,train,"[673, 90, 1571, 1072]",https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4
drink,17713,test,"[28, 0, 542, 480]",https://media.asldeafined.com/vocabulary/1467773819.9825.mp4
drink,17709,train,"[41, 9, 257, 240]",https://media.spreadthesign.com/video/mp4/13/153289.mp4
drink,17720,train,"[49, 3, 220, 192]",https://www.signingsavvy.com/signs/mp4/14/14885.mp4
drink,17721,train,"[66, 19, 209, 192]",https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,17722,train,"[66, 19, 209, 192]",https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,17723,train,"[65, 20, 208, 192]",https://www.signingsavvy.com/signs/mp4/23/23389.mp4
